piece_id,produit_id,type_piece,temp_air_K,temp_process_K,vitesse_rotation_rpm,couple_Nm,usure_outil_min,panne_machine,defaut_usure_outil,defaut_chaleur,defaut_puissance,defaut_surcharge,defaut_aleatoire,usine,temp_air_C,temp_process_C,delta_temp_C,puissance_W,ratio_couple_vitesse,nb_defauts
854,L48033,L,296.3,307.3,1444,49.0,13,0,0,0,0,0,0,ES-Barcelone,23.15,34.15,11.0,7409.55,0.0339,0
855,M15714,M,296.3,307.3,1498,41.6,15,0,0,0,0,0,0,FR-Lyon,23.15,34.15,11.0,6525.8,0.0278,0
856,L48035,L,296.1,307.2,1615,30.8,18,0,0,0,0,0,0,FR-Lyon,22.95,34.05,11.1,5208.97,0.0191,0
857,L48036,L,296.1,307.1,1898,22.7,20,0,0,0,0,0,0,FR-Lyon,22.95,33.95,11.0,4511.81,0.012,0
858,M15717,M,296.1,307.1,1350,53.3,22,0,0,0,0,0,0,FR-Nantes,22.95,33.95,11.0,7535.11,0.0395,0
859,M15718,M,296.2,307.0,1516,37.6,25,0,0,0,0,0,0,FR-Nantes,23.05,33.85,10.8,5969.19,0.0248,0
860,H30273,H,296.2,307.0,1542,40.6,28,0,0,0,0,0,0,FR-Lyon,23.05,33.85,10.8,6556.0,0.0263,0
861,H30274,H,296.1,306.9,1541,32.6,33,0,0,0,0,0,0,ES-Madrid,22.95,33.75,10.8,5260.76,0.0211,0
862,M15721,M,296.1,306.9,1951,23.3,38,0,0,0,0,0,0,FR-Nantes,22.95,33.75,10.8,4760.38,0.0119,0
863,H30276,H,296.1,306.8,1645,31.0,41,0,0,0,0,0,0,FR-Nantes,22.95,33.65,10.7,5340.18,0.0188,0
864,L48043,L,296.0,306.7,1416,44.2,46,0,0,0,0,0,0,FR-Toulouse,22.85,33.55,10.7,6554.12,0.0312,0
865,M15724,M,296.0,306.7,2044,22.3,48,0,0,0,0,0,0,FR-Toulouse,22.85,33.55,10.7,4773.25,0.0109,0
866,L48045,L,295.9,306.6,1414,50.2,51,0,0,0,0,0,0,FR-Nantes,22.75,33.45,10.7,7433.3,0.0355,0
867,L48046,L,295.9,306.6,1678,26.7,53,0,0,0,0,0,0,FR-Lyon,22.75,33.45,10.7,4691.72,0.0159,0
868,H30281,H,295.9,306.5,1594,33.2,55,0,0,0,0,0,0,FR-Lyon,22.75,33.35,10.6,5541.85,0.0208,0
869,M15728,M,295.8,306.5,1514,37.7,60,0,0,0,0,0,0,ES-Barcelone,22.65,33.35,10.7,5977.17,0.0249,0
870,L48049,L,295.8,306.5,1358,49.2,63,0,0,0,0,0,0,ES-Barcelone,22.65,33.35,10.7,6996.7,0.0362,0
871,L48050,L,295.8,306.4,1325,56.2,65,0,0,0,0,0,0,FR-Toulouse,22.65,33.25,10.6,7797.96,0.0424,0
872,L48051,L,295.8,306.4,1339,53.2,67,0,0,0,0,0,0,FR-Toulouse,22.65,33.25,10.6,7459.69,0.0397,0
873,M15732,M,295.8,306.4,1335,51.7,69,0,0,0,0,0,0,FR-Nantes,22.65,33.25,10.6,7227.71,0.0387,0
874,L48053,L,295.9,306.4,1892,21.7,72,0,0,0,0,0,0,FR-Toulouse,22.75,33.25,10.5,4299.42,0.0115,0
875,L48054,L,295.9,306.4,1575,28.5,74,0,0,0,0,0,0,FR-Lyon,22.75,33.25,10.5,4700.61,0.0181,0
876,M15735,M,295.8,306.3,1444,45.5,76,0,0,0,0,0,0,FR-Lyon,22.65,33.15,10.5,6880.3,0.0315,0
877,L48056,L,295.7,306.3,1915,22.4,79,0,0,0,0,0,0,ES-Madrid,22.55,33.15,10.6,4492.06,0.0117,0
878,M15737,M,295.6,306.2,1584,33.6,81,0,0,0,0,0,0,ES-Madrid,22.45,33.05,10.6,5573.44,0.0212,0
879,M15738,M,295.7,306.3,1685,34.9,84,0,0,0,0,0,0,FR-Lyon,22.55,33.15,10.6,6158.2,0.0207,0
880,L48059,L,295.8,306.3,1337,54.6,87,0,0,0,0,0,0,FR-Lyon,22.65,33.15,10.5,7644.56,0.0408,0
881,M15740,M,295.8,306.3,1235,76.2,89,1,0,0,1,0,0,FR-Lyon,22.65,33.15,10.5,9854.86,0.0617,1
882,L48061,L,295.7,306.2,1464,46.2,92,0,0,0,0,0,0,ES-Madrid,22.55,33.05,10.5,7082.91,0.0315,0
883,M15742,M,295.7,306.2,1739,25.9,94,0,0,0,0,0,0,FR-Lyon,22.55,33.05,10.5,4716.59,0.0149,0
884,L48063,L,295.7,306.3,1490,34.3,97,0,0,0,0,0,0,FR-Lyon,22.55,33.15,10.6,5351.91,0.023,0
885,L48064,L,295.8,306.4,1356,48.0,99,0,0,0,0,0,0,ES-Madrid,22.65,33.25,10.6,6816.0,0.0354,0
886,L48065,L,295.7,306.2,1397,52.0,101,0,0,0,0,0,0,FR-Lyon,22.55,33.05,10.5,7607.26,0.0372,0
887,L48066,L,295.7,306.2,1458,40.6,103,0,0,0,0,0,0,ES-Madrid,22.55,33.05,10.5,6198.86,0.0278,0
888,H30301,H,295.7,306.2,2161,16.5,105,0,0,0,0,0,0,FR-Lyon,22.55,33.05,10.5,3733.94,0.0076,0
889,M15748,M,295.6,306.1,1651,28.1,110,0,0,0,0,0,0,FR-Lyon,22.45,32.95,10.5,4858.27,0.017,0
890,L48069,L,295.6,306.1,1389,46.2,113,0,0,0,0,0,0,FR-Lyon,22.45,32.95,10.5,6720.06,0.0332,0
891,L48070,L,295.6,306.0,1370,52.4,115,0,0,0,0,0,0,ES-Madrid,22.45,32.85,10.4,7517.62,0.0382,0
892,L48071,L,295.7,306.1,1408,47.9,117,0,0,0,0,0,0,ES-Barcelone,22.55,32.95,10.4,7062.64,0.034,0
893,L48072,L,295.7,306.1,1343,54.4,119,0,0,0,0,0,0,ES-Madrid,22.55,32.95,10.4,7650.74,0.0405,0
894,M15753,M,295.7,306.2,1423,42.5,121,0,0,0,0,0,0,FR-Toulouse,22.55,33.05,10.5,6333.19,0.0298,0
895,L48074,L,295.6,306.2,1426,48.6,124,0,0,0,0,0,0,ES-Madrid,22.45,33.05,10.6,7257.46,0.0341,0
896,M15755,M,295.6,306.2,1435,51.6,126,0,0,0,0,0,0,FR-Lyon,22.45,33.05,10.6,7754.08,0.0359,0
897,L48076,L,295.5,306.1,1573,35.1,129,0,0,0,0,0,0,FR-Toulouse,22.35,32.95,10.6,5781.82,0.0223,0
898,L48077,L,295.6,306.2,1612,31.2,131,0,0,0,0,0,0,ES-Barcelone,22.45,33.05,10.6,5266.82,0.0193,0
899,L48078,L,295.6,306.2,1446,49.9,133,0,0,0,0,0,0,FR-Lyon,22.45,33.05,10.6,7556.1,0.0345,0
900,H30313,H,295.6,306.2,1329,55.3,135,0,0,0,0,0,0,FR-Lyon,22.45,33.05,10.6,7696.24,0.0416,0
901,L48080,L,295.6,306.2,1569,35.1,140,0,0,0,0,0,0,FR-Lyon,22.45,33.05,10.6,5767.12,0.0224,0
902,H30315,H,295.6,306.1,1256,62.3,142,0,0,0,0,0,0,FR-Lyon,22.45,32.95,10.5,8194.2,0.0496,0
903,L48082,L,295.6,306.1,1383,48.7,147,0,0,0,0,0,0,FR-Lyon,22.45,32.95,10.5,7053.1,0.0352,0
904,L48083,L,295.7,306.2,2270,14.6,149,1,0,0,1,0,0,FR-Nantes,22.55,33.05,10.5,3470.62,0.0064,1
905,H30318,H,295.7,306.2,1458,49.8,151,0,0,0,0,0,0,FR-Toulouse,22.55,33.05,10.5,7603.53,0.0341,0
906,L48085,L,295.6,306.1,1474,41.2,156,0,0,0,0,0,0,ES-Barcelone,22.45,32.95,10.5,6359.51,0.0279,0
907,M15766,M,295.6,306.1,1462,49.2,158,0,0,0,0,0,0,ES-Madrid,22.45,32.95,10.5,7532.53,0.0336,0
908,M15767,M,295.6,306.1,1669,29.0,161,0,0,0,0,0,0,FR-Toulouse,22.45,32.95,10.5,5068.54,0.0174,0
909,M15768,M,295.5,306.1,1822,24.3,164,0,0,0,0,0,0,FR-Toulouse,22.35,32.95,10.6,4636.43,0.0133,0
910,L48089,L,295.5,306.0,1456,39.2,167,0,0,0,0,0,0,FR-Toulouse,22.35,32.85,10.5,5976.9,0.0269,0
911,L48090,L,295.5,306.0,1546,35.9,169,0,0,0,0,0,0,FR-Nantes,22.35,32.85,10.5,5812.09,0.0232,0
912,M15771,M,295.6,306.1,1490,42.7,171,0,0,0,0,0,0,FR-Toulouse,22.45,32.95,10.5,6662.58,0.0286,0
913,L48092,L,295.6,306.0,1569,40.4,174,0,0,0,0,0,0,FR-Nantes,22.45,32.85,10.4,6637.93,0.0257,0
914,L48093,L,295.5,306.0,1621,29.5,176,0,0,0,0,0,0,FR-Toulouse,22.35,32.85,10.5,5007.65,0.0182,0
915,M15774,M,295.4,305.9,1518,40.6,178,0,0,0,0,0,0,FR-Nantes,22.25,32.75,10.5,6453.96,0.0267,0
916,M15775,M,295.4,305.8,1526,38.2,181,0,0,0,0,0,0,FR-Toulouse,22.25,32.65,10.4,6104.45,0.025,0
917,M15776,M,295.3,305.8,1589,36.2,184,0,0,0,0,0,0,FR-Toulouse,22.15,32.65,10.5,6023.67,0.0228,0
918,L48097,L,295.3,305.7,1475,51.0,187,0,0,0,0,0,0,ES-Barcelone,22.15,32.55,10.4,7877.54,0.0346,0
919,M15778,M,295.3,305.7,1473,38.5,189,0,0,0,0,0,0,ES-Madrid,22.15,32.55,10.4,5938.71,0.0261,0
920,L48099,L,295.4,305.8,1407,50.7,192,0,0,0,0,0,0,FR-Lyon,22.25,32.65,10.4,7470.17,0.036,0
921,M15780,M,295.5,305.9,1518,44.1,194,0,0,0,0,0,0,ES-Barcelone,22.35,32.75,10.4,7010.34,0.029,0
922,H30335,H,295.5,305.9,1593,37.2,197,0,0,0,0,0,0,FR-Nantes,22.35,32.75,10.4,6205.65,0.0233,0
923,M15782,M,295.5,305.9,1380,52.4,202,0,0,0,0,0,0,ES-Barcelone,22.35,32.75,10.4,7572.49,0.0379,0
924,M15783,M,295.5,306.0,1423,45.3,205,0,0,0,0,0,0,ES-Madrid,22.35,32.85,10.5,6750.43,0.0318,0
925,L48104,L,295.5,306.0,1800,27.6,208,0,0,0,0,0,0,FR-Toulouse,22.35,32.85,10.5,5202.48,0.0153,0
926,H30339,H,295.6,306.1,1623,30.9,210,0,0,0,0,0,0,FR-Lyon,22.45,32.95,10.5,5251.77,0.019,0
927,L48106,L,295.6,306.1,1372,55.6,215,1,0,0,0,1,0,FR-Toulouse,22.45,32.95,10.5,7988.36,0.0405,1
928,H30341,H,295.6,306.0,1396,52.4,0,0,0,0,0,0,0,FR-Nantes,22.45,32.85,10.4,7660.29,0.0375,0
929,L48108,L,295.6,306.0,1949,21.9,5,0,0,0,0,0,0,FR-Nantes,22.45,32.85,10.4,4469.76,0.0112,0
930,L48109,L,295.6,306.0,1419,51.1,7,0,0,0,0,0,0,FR-Toulouse,22.45,32.85,10.4,7593.32,0.036,0
931,M15790,M,295.5,305.9,1453,47.3,9,0,0,0,0,0,0,FR-Lyon,22.35,32.75,10.4,7197.06,0.0325,0
932,L48111,L,295.5,305.9,1542,36.2,12,0,0,0,0,0,0,ES-Madrid,22.35,32.75,10.4,5845.5,0.0235,0
933,L48112,L,295.6,306.0,1363,50.0,14,0,0,0,0,0,0,ES-Barcelone,22.45,32.85,10.4,7136.65,0.0367,0
934,L48113,L,295.5,306.0,1597,37.2,16,0,0,0,0,0,0,FR-Nantes,22.35,32.85,10.5,6221.23,0.0233,0
935,M15794,M,295.5,306.0,1326,50.8,18,0,0,0,0,0,0,FR-Lyon,22.35,32.85,10.5,7054.01,0.0383,0
936,M15795,M,295.5,306.0,1641,36.6,21,0,0,0,0,0,0,FR-Toulouse,22.35,32.85,10.5,6289.53,0.0223,0
937,M15796,M,295.6,306.1,1418,46.2,24,0,0,0,0,0,0,FR-Lyon,22.45,32.95,10.5,6860.36,0.0326,0
938,L48117,L,295.6,306.2,1263,61.8,27,0,0,0,0,0,0,ES-Barcelone,22.45,33.05,10.6,8173.73,0.0489,0
939,L48118,L,295.6,306.2,1823,25.8,29,0,0,0,0,0,0,FR-Lyon,22.45,33.05,10.6,4925.33,0.0141,0
940,L48119,L,295.5,306.1,1488,40.7,31,0,0,0,0,0,0,FR-Nantes,22.35,32.95,10.6,6342.0,0.0273,0
941,L48120,L,295.6,306.2,1443,48.9,33,0,0,0,0,0,0,FR-Toulouse,22.45,33.05,10.6,7389.31,0.0339,0
942,L48121,L,295.6,306.2,1650,28.2,35,0,0,0,0,0,0,FR-Nantes,22.45,33.05,10.6,4872.61,0.0171,0
943,M15802,M,295.7,306.3,1462,44.3,37,0,0,0,0,0,0,ES-Madrid,22.55,33.15,10.6,6782.34,0.0303,0
944,M15803,M,295.6,306.2,1477,45.0,40,0,0,0,0,0,0,ES-Madrid,22.45,33.05,10.6,6960.2,0.0304,0
945,M15804,M,295.7,306.3,1712,28.5,43,0,0,0,0,0,0,FR-Lyon,22.55,33.15,10.6,5109.49,0.0166,0
946,M15805,M,295.7,306.3,1347,50.4,46,0,0,0,0,0,0,FR-Lyon,22.55,33.15,10.6,7109.3,0.0374,0
947,L48126,L,295.6,306.2,1287,54.8,49,0,0,0,0,0,0,FR-Lyon,22.45,33.05,10.6,7385.63,0.0425,0
948,L48127,L,295.6,306.2,1428,44.5,51,0,0,0,0,0,0,ES-Barcelone,22.45,33.05,10.6,6654.52,0.0311,0
949,M15808,M,295.6,306.3,1426,45.5,53,0,0,0,0,0,0,ES-Barcelone,22.45,33.15,10.7,6794.53,0.0319,0
950,L48129,L,295.6,306.3,1636,32.7,56,0,0,0,0,0,0,FR-Nantes,22.45,33.15,10.7,5602.21,0.02,0
951,L48130,L,295.6,306.2,1424,42.5,58,0,0,0,0,0,0,FR-Nantes,22.45,33.05,10.6,6337.64,0.0298,0
952,H30365,H,295.6,306.3,1509,35.8,60,0,0,0,0,0,0,ES-Madrid,22.45,33.15,10.7,5657.19,0.0237,0
953,L48132,L,295.5,306.2,1448,48.9,65,0,0,0,0,0,0,FR-Lyon,22.35,33.05,10.7,7414.91,0.0337,0
954,L48133,L,295.5,306.1,1650,32.8,67,0,0,0,0,0,0,ES-Barcelone,22.35,32.95,10.6,5667.43,0.0199,0
955,H30368,H,295.6,306.2,1414,42.5,69,0,0,0,0,0,0,FR-Toulouse,22.45,33.05,10.6,6293.13,0.03,0
956,L48135,L,295.6,306.3,1911,20.9,74,0,0,0,0,0,0,FR-Toulouse,22.45,33.15,10.7,4182.5,0.0109,0
957,H30370,H,295.6,306.2,1632,32.2,76,0,0,0,0,0,0,FR-Nantes,22.45,33.05,10.6,5503.07,0.0197,0
958,M15817,M,295.7,306.4,1387,40.1,81,0,0,0,0,0,0,FR-Lyon,22.55,33.25,10.7,5824.38,0.0289,0
959,L48138,L,295.8,306.4,1399,47.6,84,0,0,0,0,0,0,FR-Lyon,22.65,33.25,10.6,6973.54,0.034,0
960,L48139,L,295.8,306.5,1505,35.2,86,0,0,0,0,0,0,ES-Madrid,22.65,33.35,10.7,5547.63,0.0234,0
961,L48140,L,295.8,306.5,1534,37.9,88,0,0,0,0,0,0,FR-Lyon,22.65,33.35,10.7,6088.26,0.0247,0
962,L48141,L,295.8,306.5,1493,40.5,90,0,0,0,0,0,0,FR-Nantes,22.65,33.35,10.7,6332.04,0.0271,0
963,M15822,M,295.8,306.6,1480,43.2,92,0,0,0,0,0,0,FR-Lyon,22.65,33.45,10.8,6695.36,0.0292,0
964,L48143,L,295.8,306.6,1621,31.6,95,0,0,0,0,0,0,FR-Toulouse,22.65,33.45,10.8,5364.12,0.0195,0
965,L48144,L,295.7,306.5,1737,26.2,97,0,0,0,0,0,0,FR-Toulouse,22.55,33.35,10.8,4765.73,0.0151,0
966,L48145,L,295.8,306.6,1508,46.5,99,0,0,0,0,0,0,FR-Toulouse,22.65,33.45,10.8,7343.16,0.0308,0
967,M15826,M,295.8,306.5,1641,32.2,101,0,0,0,0,0,0,ES-Madrid,22.65,33.35,10.7,5533.41,0.0196,0
968,M15827,M,295.9,306.6,1532,38.6,104,0,0,0,0,0,0,FR-Toulouse,22.75,33.45,10.7,6192.62,0.0252,0
969,L48148,L,295.9,306.7,1547,40.9,107,0,0,0,0,0,0,FR-Nantes,22.75,33.55,10.8,6625.86,0.0264,0
970,L48149,L,295.9,306.6,1412,41.0,109,0,0,0,0,0,0,FR-Nantes,22.75,33.45,10.7,6062.44,0.029,0
971,L48150,L,295.8,306.5,1568,35.1,111,0,0,0,0,0,0,ES-Madrid,22.65,33.35,10.7,5763.44,0.0224,0
972,L48151,L,295.9,306.6,1557,41.1,113,0,0,0,0,0,0,ES-Barcelone,22.75,33.45,10.7,6701.3,0.0264,0
973,L48152,L,295.8,306.6,1644,35.2,115,0,0,0,0,0,0,ES-Madrid,22.65,33.45,10.8,6060.01,0.0214,0
974,L48153,L,295.9,306.6,1679,30.4,117,0,0,0,0,0,0,FR-Lyon,22.75,33.45,10.7,5345.06,0.0181,0
975,L48154,L,296.0,306.6,1511,35.2,119,0,0,0,0,0,0,FR-Lyon,22.85,33.45,10.6,5569.75,0.0233,0
976,M15835,M,296.0,306.6,1628,36.8,121,0,0,0,0,0,0,FR-Toulouse,22.85,33.45,10.6,6273.8,0.0226,0
977,M15836,M,296.0,306.6,1392,51.3,124,0,0,0,0,0,0,FR-Nantes,22.85,33.45,10.6,7478.0,0.0368,0
978,L48157,L,296.0,306.7,1917,21.0,127,0,0,0,0,0,0,FR-Lyon,22.85,33.55,10.7,4215.7,0.0109,0
979,M15838,M,296.2,306.8,1526,42.3,129,0,0,0,0,0,0,FR-Nantes,23.05,33.65,10.6,6759.64,0.0277,0
980,L48159,L,296.2,306.8,1389,53.3,132,0,0,0,0,0,0,FR-Nantes,23.05,33.65,10.6,7752.79,0.0383,0
981,L48160,L,296.1,306.7,1409,42.8,134,0,0,0,0,0,0,FR-Toulouse,22.95,33.55,10.6,6315.15,0.0304,0
982,L48161,L,296.2,306.8,1655,31.1,136,0,0,0,0,0,0,ES-Madrid,23.05,33.65,10.6,5389.98,0.0188,0
983,L48162,L,296.2,306.9,1516,39.1,138,0,0,0,0,0,0,FR-Lyon,23.05,33.75,10.7,6207.33,0.0258,0
984,L48163,L,296.2,306.9,1526,34.9,140,0,0,0,0,0,0,FR-Lyon,23.05,33.75,10.7,5577.1,0.0229,0
985,L48164,L,296.3,307.1,1419,48.6,142,0,0,0,0,0,0,ES-Madrid,23.15,33.95,10.8,7221.83,0.0342,0
986,L48165,L,296.4,307.2,1748,25.3,144,0,0,0,0,0,0,FR-Nantes,23.25,34.05,10.8,4631.17,0.0145,0
987,H30400,H,296.4,307.1,1638,32.5,146,0,0,0,0,0,0,ES-Madrid,23.25,33.95,10.7,5574.76,0.0198,0
988,M15847,M,296.3,307.1,1534,33.8,151,0,0,0,0,0,0,FR-Toulouse,23.15,33.95,10.8,5429.64,0.022,0
989,H30402,H,296.3,307.1,1774,25.9,154,0,0,0,0,0,0,FR-Lyon,23.15,33.95,10.8,4811.52,0.0146,0
990,M15849,M,296.2,307.0,2119,18.3,159,0,0,0,0,0,0,ES-Madrid,23.05,33.85,10.8,4060.79,0.0086,0
991,L48170,L,296.2,307.0,1414,48.3,162,0,0,0,0,0,0,ES-Madrid,23.05,33.85,10.8,7151.96,0.0341,0
992,M15851,M,296.1,307.0,1523,42.0,164,0,0,0,0,0,0,ES-Madrid,22.95,33.85,10.9,6698.5,0.0276,0
993,L48172,L,296.1,307.1,1651,35.7,167,0,0,0,0,0,0,FR-Toulouse,22.95,33.95,11.0,6172.26,0.0216,0
994,M15853,M,296.1,307.1,1485,36.0,169,0,0,0,0,0,0,FR-Nantes,22.95,33.95,11.0,5598.32,0.0242,0
995,M15854,M,296.2,307.2,1168,63.4,172,0,0,0,0,0,0,FR-Toulouse,23.05,34.05,11.0,7754.62,0.0542,0
996,L48175,L,296.3,307.3,1566,35.8,175,0,0,0,0,0,0,FR-Lyon,23.15,34.15,11.0,5870.88,0.0228,0
997,M15856,M,296.3,307.2,1286,51.1,177,0,0,0,0,0,0,ES-Barcelone,23.15,34.05,10.9,6881.62,0.0397,0
998,M15857,M,296.3,307.2,1446,45.9,180,0,0,0,0,0,0,FR-Lyon,23.15,34.05,10.9,6950.4,0.0317,0
999,M15858,M,296.4,307.2,2071,19.4,183,0,0,0,0,0,0,ES-Barcelone,23.25,34.05,10.8,4207.37,0.0094,0
1000,L48179,L,296.3,307.1,1560,33.2,186,0,0,0,0,0,0,FR-Toulouse,23.15,33.95,10.8,5423.65,0.0213,0
1001,L48180,L,296.3,307.1,1654,29.6,188,0,0,0,0,0,0,FR-Lyon,23.15,33.95,10.8,5126.91,0.0179,0
1002,L48181,L,296.3,307.1,1662,32.9,190,0,0,0,0,0,0,FR-Nantes,23.15,33.95,10.8,5726.06,0.0198,0
1003,L48182,L,296.3,307.2,1646,35.0,192,0,0,0,0,0,0,ES-Barcelone,23.15,34.05,10.9,6032.91,0.0213,0
1004,L48183,L,296.2,307.1,1444,46.7,194,0,0,0,0,0,0,ES-Madrid,23.05,33.95,10.9,7061.76,0.0323,0
1005,H30418,H,296.3,307.2,1424,42.0,196,0,0,0,0,0,0,ES-Madrid,23.15,34.05,10.9,6263.08,0.0295,0
1006,L48185,L,296.2,307.2,1382,52.0,201,0,0,0,0,0,0,ES-Madrid,23.05,34.05,11.0,7525.58,0.0376,0
1007,L48186,L,296.2,307.1,1413,53.4,203,0,0,0,0,0,0,ES-Madrid,23.05,33.95,10.9,7901.55,0.0378,0
1008,M15867,M,296.2,307.2,1633,31.1,0,0,0,0,0,0,0,ES-Madrid,23.05,34.05,11.0,5318.33,0.019,0
1009,L48188,L,296.2,307.1,1441,41.7,3,0,0,0,0,0,0,FR-Lyon,23.05,33.95,10.9,6292.58,0.0289,0
1010,M15869,M,296.2,307.2,1385,44.0,5,0,0,0,0,0,0,FR-Nantes,23.05,34.05,11.0,6381.62,0.0317,0
1011,M15870,M,296.2,307.2,1552,34.8,8,0,0,0,0,0,0,FR-Lyon,23.05,34.05,11.0,5655.87,0.0224,0
1012,M15871,M,296.2,307.3,1451,42.8,11,0,0,0,0,0,0,ES-Barcelone,23.05,34.15,11.1,6503.39,0.0295,0
1013,M15872,M,296.1,307.1,1433,38.5,14,0,0,0,0,0,0,ES-Barcelone,22.95,33.95,11.0,5777.44,0.0268,0
1014,M15873,M,296.1,307.2,1619,29.7,17,0,0,0,0,0,0,FR-Lyon,22.95,34.05,11.1,5035.38,0.0183,0
1015,L48194,L,296.2,307.2,1445,41.8,20,0,0,0,0,0,0,ES-Madrid,23.05,34.05,11.0,6325.18,0.0289,0
1016,L48195,L,296.2,307.2,1356,43.6,22,0,0,0,0,0,0,ES-Barcelone,23.05,34.05,11.0,6191.2,0.0321,0
1017,M15876,M,296.3,307.2,1319,68.3,24,1,0,0,1,0,0,FR-Lyon,23.15,34.05,10.9,9433.96,0.0517,1
1018,L48197,L,296.3,307.2,1637,31.6,27,0,0,0,0,0,0,FR-Nantes,23.15,34.05,10.9,5417.07,0.0193,0
1019,L48198,L,296.3,307.2,1291,58.6,29,0,0,0,0,0,0,ES-Barcelone,23.15,34.05,10.9,7922.32,0.0454,0
1020,L48199,L,296.3,307.3,1398,52.7,31,0,0,0,0,0,0,FR-Lyon,23.15,34.15,11.0,7715.19,0.0377,0
1021,L48200,L,296.3,307.3,1372,57.7,33,0,0,0,0,0,0,ES-Madrid,23.15,34.15,11.0,8290.08,0.042,0
1022,M15881,M,296.3,307.2,1454,42.5,35,0,0,0,0,0,0,FR-Toulouse,23.15,34.05,10.9,6471.16,0.0292,0
1023,L48202,L,296.2,307.2,1515,36.5,38,0,0,0,0,0,0,ES-Barcelone,23.05,34.05,11.0,5790.74,0.0241,0
1024,L48203,L,296.2,307.3,1881,24.3,40,0,0,0,0,0,0,ES-Barcelone,23.05,34.15,11.1,4786.56,0.0129,0
1025,L48204,L,296.2,307.3,1711,29.9,42,0,0,0,0,0,0,ES-Barcelone,23.05,34.15,11.1,5357.35,0.0175,0
1026,L48205,L,296.2,307.3,1475,37.0,44,0,0,0,0,0,0,FR-Nantes,23.05,34.15,11.1,5715.08,0.0251,0
1027,L48206,L,296.4,307.4,1512,36.8,46,0,0,0,0,0,0,ES-Barcelone,23.25,34.25,11.0,5826.77,0.0243,0
1028,M15887,M,296.3,307.4,1335,50.5,48,0,0,0,0,0,0,ES-Madrid,23.15,34.25,11.1,7059.94,0.0378,0
1029,L48208,L,296.3,307.4,1472,39.9,51,0,0,0,0,0,0,FR-Toulouse,23.15,34.25,11.1,6150.48,0.0271,0
1030,M15889,M,296.2,307.3,1477,35.2,53,0,0,0,0,0,0,ES-Madrid,23.05,34.15,11.1,5444.42,0.0238,0
1031,L48210,L,296.3,307.4,1760,28.4,56,0,0,0,0,0,0,FR-Lyon,23.15,34.25,11.1,5234.31,0.0161,0
1032,L48211,L,296.4,307.5,1549,36.1,58,0,0,0,0,0,0,FR-Nantes,23.25,34.35,11.1,5855.81,0.0233,0
1033,L48212,L,296.3,307.4,1648,34.0,60,0,0,0,0,0,0,FR-Lyon,23.15,34.25,11.1,5867.66,0.0206,0
1034,H30447,H,296.4,307.5,1556,38.0,62,0,0,0,0,0,0,FR-Lyon,23.25,34.35,11.1,6191.87,0.0244,0
1035,M15894,M,296.3,307.4,1958,19.1,67,0,0,0,0,0,0,FR-Lyon,23.15,34.25,11.1,3916.29,0.0097,0
1036,L48215,L,296.4,307.4,1403,48.4,70,0,0,0,0,0,0,ES-Madrid,23.25,34.25,11.0,7111.02,0.0345,0
1037,M15896,M,296.4,307.5,1684,31.4,72,0,0,0,0,0,0,FR-Toulouse,23.25,34.35,11.1,5537.33,0.0186,0
1038,H30451,H,296.4,307.5,1596,35.1,75,0,0,0,0,0,0,ES-Madrid,23.25,34.35,11.1,5866.36,0.022,0
1039,L48218,L,296.6,307.6,1498,41.1,80,0,0,0,0,0,0,FR-Lyon,23.45,34.45,11.0,6447.36,0.0274,0
1040,L48219,L,296.7,307.7,1524,36.8,82,0,0,0,0,0,0,FR-Toulouse,23.55,34.55,11.0,5873.02,0.0241,0
1041,L48220,L,296.7,307.7,1502,43.9,84,0,0,0,0,0,0,FR-Nantes,23.55,34.55,11.0,6904.99,0.0292,0
1042,L48221,L,296.6,307.6,1809,25.1,86,0,0,0,0,0,0,ES-Madrid,23.45,34.45,11.0,4754.89,0.0139,0
1043,L48222,L,296.6,307.6,1542,37.4,88,0,0,0,0,0,0,FR-Toulouse,23.45,34.45,11.0,6039.27,0.0242,0
1044,L48223,L,296.5,307.6,1431,45.2,90,0,0,0,0,0,0,FR-Nantes,23.35,34.45,11.1,6773.4,0.0316,0
1045,L48224,L,296.5,307.6,1512,43.6,92,0,0,0,0,0,0,ES-Barcelone,23.35,34.45,11.1,6903.46,0.0288,0
1046,H30459,H,296.4,307.5,1403,52.8,94,0,0,0,0,0,0,FR-Nantes,23.25,34.35,11.1,7757.47,0.0376,0
1047,L48226,L,296.4,307.5,1331,47.8,99,0,0,0,0,0,0,FR-Lyon,23.25,34.35,11.1,6662.46,0.0359,0
1048,M15907,M,296.6,307.7,1474,52.6,101,0,0,0,0,0,0,FR-Lyon,23.45,34.55,11.1,8119.17,0.0357,0
1049,L48228,L,296.5,307.6,1607,33.5,104,0,0,0,0,0,0,ES-Barcelone,23.35,34.45,11.1,5637.54,0.0208,0
1050,L48229,L,296.5,307.6,1415,44.2,106,0,0,0,0,0,0,FR-Lyon,23.35,34.45,11.1,6549.49,0.0312,0
1051,L48230,L,296.6,307.6,1671,28.8,108,0,0,0,0,0,0,ES-Barcelone,23.45,34.45,11.0,5039.62,0.0172,0
1052,L48231,L,296.6,307.7,1556,37.7,110,0,0,0,0,0,0,FR-Nantes,23.45,34.55,11.1,6142.99,0.0242,0
